FY 2020 IPPS Final Rule: Implementation of Section 3133 of the Affordable Care Act- Medicare DSH- Supplemental Data																
Medicare CCN	Projected to Receive DSH in FY 2020	IHS or PR	Rural Community Hospital Demonstration	New Hospital	Medicaid Days 2013 (Annualized)	Length of 2013 Reporting Period	2017 SSI Days	2015 UCC (Annualized)	Length of 2015 Reporting Period	Factor 3	Total Uncompensated Care Payment	Estimated Per Claim Amount	BILLSV32	BILLSV33	BILLSV34	Claims Average
[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]
030093	YES	NO	NO	NO	"7,869"	365	827	"$5,591,998.00"	365	0.000185823	"$1,551,732.57"	$306.06	"4,898"	"5,049"	"5,262"	"5,070"
030094	YES	NO	NO	NO	"14,645"	365	"1,317"	"$5,370,818.43"	366	0.000178473	"$1,490,357.10"	$386.80	"3,741"	"3,858"	"3,961"	"3,853"
030101	YES	NO	NO	NO	"4,395"	365	413	"$1,364,685.14"	366	0.000045349	"$378,688.69"	$202.62	"2,062"	"1,772"	"1,772"	"1,869"
030103	NO	NO	NO	NO	"1,718"	365	745	"$8,369,045.00"	365	0.000278105	N/A	N/A	N/A	N/A	N/A	N/A
030105	NO	NO	NO	NO	904	365	432	"$563,847.00"	365	0.000018737	N/A	N/A	N/A	N/A	N/A	N/A
030107	NO	NO	NO	NO	1	365	2	"$72,003.00"	365	0.000002393	N/A	N/A	N/A	N/A	N/A	N/A
030108	NO	NO	NO	NO	4	365	3	"$246,758.76"	214	0.000008200	N/A	N/A	N/A	N/A	N/A	N/A
030110	YES	NO	NO	NO	"17,935"	365	"2,299"	"$11,935,556.22"	366	0.000396620	"$3,312,016.81"	"$1,282.24"	"2,171"	"2,341"	"2,590"	"2,583"
030111	YES	NO	NO	NO	"12,897"	365	"2,776"	"$7,116,318.21"	307	0.000236476	"$1,974,718.65"	"$1,715.65"	"1,111"	"1,217"	"1,126"	"1,151"
030112	NO	NO	NO	NO		365	N/A	"$47,063.00"	365	0.000001564	N/A	N/A	N/A	N/A	N/A	N/A
030113	YES	YES	NO	NO	"2,884"	365	226	N/A	N/A	0.000082897	"$692,236.61"	"$4,466.04"	152	151	162	155
030114	NO	NO	NO	NO	502	365	210	"$629,647.00"	365	0.000020923	N/A	N/A	N/A	N/A	N/A	N/A
030115	YES	NO	NO	NO	"22,760"	365	"2,059"	"$12,486,512.00"	365	0.000414929	"$3,464,902.42"	"$1,553.07"	"2,068"	"2,210"	"2,414"	"2,231"
030117	YES	NO	NO	NO	"2,411"	365	130	"$2,385,386.00"	365	0.000079267	"$661,924.62"	$844.29	799	717	835	784
030119	YES	NO	NO	NO	"10,266"	365	763	"$6,901,779.02"	366	0.000229347	"$1,915,185.83"	$543.93	"3,417"	"3,473"	"3,672"	"3,521"
030120	YES	NO	NO	NO	239	365	27	"$1,676,539.00"	365	0.000055712	"$465,225.52"	"$3,101.50"	228	114	109	150
030121	YES	NO	NO	NO	"8,636"	365	737	"$2,207,117.10"	366	0.000073343	"$612,456.49"	$289.71	"2,201"	"2,097"	"2,043"	"2,114"
030122	YES	NO	NO	NO	"11,182"	365	676	"$7,162,670.00"	365	0.000238017	"$1,987,580.89"	$930.95	"2,175"	"1,990"	"2,241"	"2,135"
030123	NO	NO	NO	NO	467	365	125	"$1,760,423.00"	365	0.000058499	N/A	N/A	N/A	N/A	N/A	N/A
030126	NO	NO	NO	NO	"1,161"	116				0.000000000	N/A	N/A	N/A	N/A	N/A	N/A
030130	YES	NO	NO	NO	"3,021"	365	112	"$2,651,957.00"	365	0.000088125	"$735,895.84"	"$1,350.27"	477	495	662	545
030131	NO	NO	NO	NO		365	N/A	"$306,025.00"	365	0.000010169	N/A	N/A	N/A	N/A	N/A	N/A
030132	YES	NO	NO	NO	282	365	50	"$1,866.00"	365	0.000000062	$517.80	$3.22	221	146	116	161
030134	YES	NO	NO	NO	185	146	21	"$1,236,401.00"	365	0.000041086	"$343,090.91"	"$1,441.56"	258	185	270	238
030136	YES	NO	NO	NO		0	N/A	"$2,496,174.17"	336	0.000082948	"$692,667.41"	"$13,853.35"	41	32	76	50
030137	NO	NO	NO	NO			N/A	"$1,193,025.44"	183	0.000039644	N/A	N/A	N/A	N/A	N/A	N/A
030138	NO	NO	NO	YES			N/A			N/A	N/A	N/A	N/A	N/A	N/A	N/A
030139	NO	NO	NO	YES			N/A			N/A	N/A	N/A	N/A	N/A	N/A	N/A
030899	NO	YES	NO	NO			N/A	N/A	N/A	0.000000000	N/A	N/A	N/A	N/A	N/A	N/A
040001	YES	NO	NO	NO	"1,684"	365	133	"$1,934,798.18"	366	0.000064294	"$536,890.28"	"$1,466.91"	371	357	370	366
040002	YES	NO	NO	NO	"1,573"	365	234	"$2,332,153.00"	365	0.000077498	"$647,152.91"	$943.37	736	665	658	686
040004	YES	NO	NO	NO	"8,080"	365	"1,956"	"$3,671,230.00"	365	0.000121996	"$1,018,735.55"	$173.20	"5,737"	"5,904"	"6,006"	"5,882"
040007	YES	NO	NO	NO	"25,283"	365	"6,761"	"$4,859,468.39"	366	0.000161481	"$1,348,461.75"	$166.19	"8,398"	"8,192"	"7,752"	"8,114"
040010	YES	NO	NO	NO	"5,970"	365	626	"$16,429,935.48"	366	0.000545969	"$4,559,169.38"	"$1,231.21"	"3,623"	"3,595"	"3,892"	"3,703"
