FY 2020 IPPS Final Rule Correction Notice: Implementation of Section 3133 of the Affordable Care Act- Medicare DSH- Supplemental Data																
Medicare CCN	Projected to Receive DSH in FY 2020	IHS or PR	Rural Community Hospital Demonstration	New Hospital	Medicaid Days 2013 (Annualized)	Length of 2013 Reporting Period	2017 SSI Days	2015 UCC (Annualized)	Length of 2015 Reporting Period	Factor 3	Total Uncompensated Care Payment	Estimated Per Claim Amount	BILLSV33	BILLSV34	BILLSV35	Claims Average
[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]
030115	YES	NO	NO	NO	"22,760"	365	"2,059"	"$12,486,512.00"	365	0.000415268	"$3,467,740.43"	"$1,554.34"	"2,068"	"2,210"	"2,414"	"2,231"
030117	YES	NO	NO	NO	"2,411"	365	130	"$2,385,386.00"	365	0.000079332	"$662,466.79"	$844.98	799	717	835	784
030119	YES	NO	NO	NO	"10,266"	365	763	"$6,901,779.02"	366	0.000229535	"$1,916,754.51"	$544.38	"3,417"	"3,473"	"3,672"	"3,521"
030120	YES	NO	NO	NO	239	365	27	"$1,676,539.00"	365	0.000055757	"$465,606.57"	"$3,104.04"	228	114	109	150
030121	YES	NO	NO	NO	"8,636"	365	737	"$2,207,117.10"	366	0.000073403	"$612,958.14"	$289.95	"2,201"	"2,097"	"2,043"	"2,114"
030122	YES	NO	NO	NO	"11,182"	365	676	"$7,162,670.00"	365	0.000238212	"$1,989,208.87"	$931.71	"2,175"	"1,990"	"2,241"	"2,135"
030123	NO	NO	NO	NO	467	365	125	"$1,760,423.00"	365	0.000058547	N/A	N/A	N/A	N/A	N/A	N/A
030130	YES	NO	NO	NO	"3,021"	365	112	"$2,651,957.00"	365	0.000088197	"$736,498.59"	"$1,351.37"	477	495	662	545
030131	NO	NO	NO	NO		365	N/A	"$306,025.00"	365	0.000010178	N/A	N/A	N/A	N/A	N/A	N/A
030134	YES	NO	NO	NO	185	146	21	"$1,236,401.00"	365	0.000041119	"$343,371.93"	"$1,442.74"	258	185	270	238
030136	YES	NO	NO	NO		0	N/A	"$2,496,174.17"	336	0.000083016	"$693,234.76"	"$13,864.70"	41	32	76	50
030137	NO	NO	NO	NO			N/A	"$1,193,025.44"	183	0.000039677	N/A	N/A	N/A	N/A	N/A	N/A
030138	N/A	NO	NO	YES			N/A			N/A	N/A	N/A	N/A	N/A	N/A	N/A
030139	N/A	NO	NO	YES			N/A			N/A	N/A	N/A	N/A	N/A	N/A	N/A
030899	NO	YES	NO	NO			N/A	N/A	N/A	0.000000000	N/A	N/A	N/A	N/A	N/A	N/A
040001	YES	NO	NO	NO	"1,684"	365	133	"$1,934,798.18"	366	0.000064346	"$537,330.03"	"$1,468.11"	371	357	370	366
040002	YES	NO	NO	NO	"1,573"	365	234	"$2,332,153.00"	365	0.000077561	"$647,682.98"	$944.14	736	665	658	686
040004	YES	NO	NO	NO	"8,080"	365	"1,956"	"$3,671,230.00"	365	0.000122095	"$1,019,569.97"	$173.34	"5,737"	"5,904"	"6,006"	"5,882"
040007	YES	NO	NO	NO	"25,283"	365	"6,761"	"$4,859,468.39"	366	0.000161613	"$1,349,566.24"	$166.33	"8,398"	"8,192"	"7,752"	"8,114"
040010	YES	NO	NO	NO	"5,970"	365	626	"$16,429,935.48"	366	0.000546416	"$4,562,903.68"	"$1,232.22"	"3,623"	"3,595"	"3,892"	"3,703"
040011	YES	NO	NO	NO	647	365	276	"$388,330.08"	366	0.000012915	"$107,846.60"	$128.85	956	826	729	837
040014	YES	NO	NO	NO	"10,261"	365	"3,049"	"$11,898,756.44"	365	0.000395721	"$3,304,509.60"	$633.53	"5,307"	"5,202"	"5,138"	"5,216"
040015	YES	NO	NO	NO	"2,053"	365	121	"$1,392,545.00"	365	0.000046312	"$386,736.07"	$799.04	475	485	493	484
